sent1,sent2,label
literal. The action is literal and describes physically securing an object in place.,"literal. Describes physically securing the lock onto the door, not using a metaphorical meaning.",0
literal. To convert sugars to alcohol through the process of fermentation.,literal. The sentence describes the actual process of fermenting grapes to create alcohol.,0
literal. Literal action of water physically entering the pool.,"literal. The word ""filled"" is used in a straightforward manner to describe the pool being filled with water.",0
metaphor. To emphasize speed and efficiency in communication.,literal. The information is quickly and directly communicated to all command posts.,1
"literal. Describing a physical action, not a metaphorical representation.","literal. Describes actual action of lights turning on and off rapidly, not figurative language.",0
metaphor. To allow market forces to determine its value.,literal. The government allowed the ruble to fluctuate freely in the currency market.,1
"metaphor. The idea is not finalized or concrete, it is being suggested or considered.","literal. The word ""float"" is used in its literal sense of suggesting or proposing an idea.",1
metaphor. To indicate an overwhelming amount of tennis shoes being introduced into the market.,"metaphor. The market cannot physically be flooded with tennis shoes, it is an exaggeration.",1
"literal. Describes actual event of river overflowing and inundating area, not symbolic or figurative language.",literal. Describes the actual event of a river overflowing and causing water damage to the village.,0
"metaphor. Champagne doesn't actually flow like a liquid, it was poured and consumed freely.","literal. The sentence describes a physical action of champagne moving freely, not a comparison.",1
"metaphor. Antibiotics are used to cleanse and heal the wound, not to physically flush it.","literal. Antibiotics are physically used to clean out the wound, not metaphorically ""flushing"" anything out.",1
"metaphor. Forming a character is a shaping process, like molding clay into a specific shape.","literal. The word ""form"" is used in a concrete and practical sense to shape character.",1
literal. Describing a physical process or action that water undergoes when it beads up.,literal. Water physically gathered into small spherical shapes due to surface tension.,0
metaphor. Events could disrupt stability and unity in power dynamics.,"metaphorical. Power cannot literally fracture, only physical objects can.",1
"literal. Literal meaning of fueling a vehicle with gas, no figurative or symbolic interpretation needed.","literal. The word ""fueled"" is describing the actual action of adding fuel to the tanker.",0
"metaphor. The sun's intense brightness felt harsh and overwhelming, like a disapproving stare.","literal. The sun cannot physically glare; it is shining brightly and creating a harsh, bright light.",1
metaphor. The heat and steam caused her skin to appear flushed and radiant.,literal. The heat from the sauna would cause the skin to actually glow.,1
"literal. Bioluminescence, natural defense mechanism, mating display, attract prey or predators, communication within species.","literal. Fireflies emit light as a form of bioluminescence, causing them to actually glow.",0
"literal. Literal physical action is described, indicating a direct and physical movement.",literal. Describes a physical action involving physically taking hold of the child's hand.,0
metaphor. Hormones and curiosity,"metaphor. Boys are not physically pulled towards girls, it suggests a natural attraction or inclination.",1
literal. Due to the force of gravity.,literal. Refers to the actual physical force of gravity between celestial bodies.,0
"literal. Describes the physical process of shaping lenses, not a figurative action or concept.","literal. The word ""grind"" is used in its literal sense to describe the process of shaping lenses.",0
"literal. Literal description of a physical action, no implied comparison or symbolism.","literal. Refers to actual men protecting the horses physically, not symbolically or figuratively.",0
literal. The rain physically carved channels in the soil.,"literal. The word ""gutter"" is used in its literal sense as a channel for water.",0
literal. It describes the action of installing gutters on the buildings for drainage purposes.,literal. The roofer is actually installing gutters on the buildings.,0
"metaphor. To suggest aligning or balancing goals and abilities, not literally creating musical harmony.",literal. Refers to aligning actual skills and capabilities with desired objectives.,1
"literal. Direct instruction to physically pile potatoes on platter, no figurative meaning implied or needed.","literal. The word ""heap"" is used to describe physically piling potatoes onto the platter.",0
"metaphor. The oscillator is searching for the correct frequency, like a hunter searching for prey.","literal. The term ""hunt"" is being used to convey the action of searching and adjusting.",1
"literal. Physical pain is directly caused by the exercise, not as a metaphor for emotional pain.",literal. The exercise can cause physical pain or injury to the back.,0
"literal. Ignite means to cause something to catch fire, it is a physical process.",literal. Refers to the actual act of setting something on fire through heat.,0
"literal. Seeking better opportunities, escaping persecution, reuniting with family, and improving quality of life.",literal. Refers to actual movement of people from one country to another for settlement.,0
"metaphor. Racism spread and permeated societal beliefs, attitudes, and behaviors, like a harmful virus.",metaphor. Racism is not a physical illness that can be transmitted like an infection.,1
"metaphor. Currency cannot physically inflate like a balloon, but can increase in supply and decrease in value.",literal. Because it refers to physically increasing the amount of currency in circulation.,1
metaphor. Exaggerated or overstated for dramatic effect or to make something seem worse than it is.,"metaphor. The word ""inflate"" is used to convey that the charges were exaggerated or increased.",1
metaphor. The problems were passed down or transferred to the new chairman from the previous chair.,"literal. The word ""inherit"" is used to describe receiving actual problems passed down from the previous chair.",1
literal. Refers to receiving property or possessions as a legal right or through family lineage.,"literal. Inherited refers to actually receiving something from a family member, not a metaphorical concept.",0
"metaphor. To imply bringing energy, excitement, or improvement to the performance.","metaphor. Life cannot be physically injected, so it is used figuratively to mean revitalized.",1
literal. It describes a physical action of introducing hydrogen into the balloon for inflation purposes.,"literal. The word ""inject"" is used in its literal sense of physically introducing hydrogen into the balloon.",0
metaphor. Cancer is not a physical entity capable of movement; it spreads and affects surrounding tissues.,"literal. Cancer physically spread and infiltrated her lungs, causing damage and harm.",1
"literal. To assert control, expand territory, and dominate neighboring countries.",literal. Historically accurate event of military forces physically entering and taking control of Poland.,0
metaphor. Because it conveys a sense of fullness or crowdedness without literal jam being present.,"literal. The word ""jampacked"" is used to describe a crowded space, not as a metaphor.",1
"literal. The mechanism physically blocked or stuck, preventing normal movement or operation.","literal. The mechanism physically got stuck, indicating a mechanical issue rather than a metaphorical one.",0
metaphor. To balance or manipulate financial records to conceal a shortfall or loss.,"metaphor. The term ""juggle"" implies manipulating or maneuvering something, rather than literal physical juggling.",1
"literal. Describing physical recoil from firing a gun, not a metaphorical action.","literal. Physical force of gun recoil is being described, not a metaphorical action.",0
"metaphor. To imply he fraudulently manipulated funds, exaggerated financial success, or engaged in illegal activities.","metaphor. Businessman did not physically fly a kite, indicating a financial scheme or fraud.",1
"metaphor. It implies successful execution or impact, not physical contact with the ground.","literal. The word ""landed"" is often used in a physical sense to describe hitting or striking.",1
literal. Describes a physical action of a ship coming to rest on solid ground or water.,"literal. Ships physically come to a stop on land when they ""land"" in a harbor.",0
literal. Literal action of physically bringing something to a destination by aircraft or boat.,"literal. The verb ""landed"" indicates a physical action of bringing something to a specific location.",0
"metaphor. ""lay"" implies placing a burden or obligation on someone, not physically laying an object.",metaphorical. Responsibilities are not physical objects that can be physically placed on someone.,1
"literal. The sentence describes a physical action that actually happened, not a metaphorical concept.","literal. The container actually released gasoline, as opposed to symbolizing a different concept.",0
literal. Literal action of placing something in a slightly tilted position for support or storage.,literal. The action of physically placing the rifle against the wall is described.,0
"metaphor. The story has a compelling plot, diverse characters, and potential for cliffhangers and suspense.","metaphorical. Stories cannot literally lend themselves, suggesting they are suitable for TV serialization.",1
"literal. The sentence is literal and straightforward, indicating a physical act of borrowing something.","literal. ""lend"" is being used in its traditional sense of temporarily giving something to someone.",0
literal. The sentence describes the physical action of the building being brought to ground level.,literal. The building was physically demolished or destroyed to ground level.,0
metaphor. - Western countries have power to influence Bosnia's future through political and financial support.,"metaphor. ""The fate of Bosnia"" does not physically lie in the hands of the West.",1
"metaphor. Alcohol can reduce inhibitions and relax the body, leading to a more carefree demeanor.","metaphorical. Emotions cannot physically ""lighten,"" suggesting a change in mood or demeanor.",1
literal. The room became brighter as more natural light entered through the windows.,"literal. The room became brighter, indicating a physical change in lighting.",0
"metaphor. Trees are positioned in a row along the riverbank, resembling a line or boundary.","literal. The word ""line"" is used to describe the physical arrangement of the trees along the riverbank.",1
"literal. Literal action of placing hay in truck, no implied meaning or comparison present.","literal. ""Load"" is used in its literal sense of putting hay onto the truck for transportation.",0
literal. The action of physically putting ammunition into the gun is being described.,"literal. The word ""loaded"" is describing the physical action of putting ammunition in the gun.",0
"metaphor. Means tightly gripping, controlling, or restraining, not literal physical locking like a door or safe.","literal. The word ""lock"" is typically associated with physically securing something, not metaphorical language.",1
"metaphor. It implies being stuck or unable to control laughter, not literally locked in a physical space.","literal. The word ""locked"" is used to describe the physical state of being stuck in laughter.",1
literal. Describing a physical action or movement.,literal. Describing a physical action that the patient's knees were actually doing during the exercise.,0
literal. literal action of securing bike to fence with a lock for safety and prevention of theft,literal. Instructing to physically secure the bike to the fence using a lock for security.,0
"metaphor. The bicycle did not physically make a loop, but moved in a circular motion.",literal. Describes the physical action of the bicycle moving in a circular path around the tree.,1
literal. Literal task of physically recording and plotting the topography of a planetary surface.,literal. Refers to physically creating a visual representation of the surface of Venus.,0
literal. Describing a physical action or movement of a group of people in a literal sense.,literal. Describes the physical act of moving prisoners on foot through a specific location.,0
metaphor. To indicate that the company provided the same amount of money as the employees contributed.,"literal. ""Matched"" means to provide an equal amount, not a comparison or symbolism.",1
metaphor. To compare or compete with similar abilities or strengths in a sporting competition.,"literal. Refers to a direct competition between athletes, not a comparison based on similarity.",1
"metaphor. Age brings wisdom and understanding, leading to a softer, more relaxed demeanor over time.",Metaphorical. Age and experience softened his personality and made him more relaxed and wise.,1
"literal. Mellow refers to the ripening process of fruit, indicating they need more time to soften.","literal. ""Apples"" cannot physically become softer, so it is likely referring to ripening or aging.",0
metaphor. Metaphorically represents a gradual weakening or surrendering to his persuasive and attractive qualities.,"metaphor. Resistance cannot physically melt, indicating a change in attitude or emotion.",1
"literal. Literal physical process, heat from sun causes solid ice to turn into liquid water.",literal. The sun's heat caused the ice to change from a solid to a liquid.,0
literal. The furniture physically grew mold due to dampness or lack of ventilation in the old house.,literal. Mold is a type of fungus that grows on organic matter in damp conditions.,0
"metaphor. To signify starting, organizing, and executing a strategic effort or crusade.",metaphorical. Because campaigns are not physical objects that can be physically mounted.,1
"literal. Mount refers to physically preparing samples for analysis on slides, not a metaphorical action.",literal. Refers to physically placing slides on a mount for analysis under a microscope.,0
literal. To describe persistent and annoying complaining or scolding behavior directed towards her husband.,"literal. The word ""nag"" is used to describe consistently annoying behavior towards her husband.",0
"metaphor. Negotiation implies communication and compromise, which may be necessary when navigating difficult terrain.",literal. The word is used in a literal sense to describe the hiker navigating the mountain pass.,1
literal. The context suggests a literal discussion or bargaining between the parties involved.,"literal. Negotiating typically involves discussing and reaching agreements, which can take all night.",0
"metaphor. Optimism counteracts negativity, balancing emotions and attitudes toward a more neutral state.",metaphorical. Optimism and gloom cannot physically cancel each other out.,1
literal. Describing a physical action of agreeing or acknowledging without using metaphorical language.,literal. The action of nodding typically indicates agreement or approval in a non-metaphorical sense.,0
literal. To indicate approval or acknowledgment without speaking.,literal. The action of nodding is a physical movement indicating agreement or approval in this context.,0
"literal. literal action, artistic talent, physical medium, creation of art, visual representation, realistic portrayal.","literal. The word ""painted"" is commonly used to describe creating a visual representation.",0
"metaphor. Not a literal action, heart cannot physically palpitate.","literal. ""palpitate"" is a medical term describing the physical sensation of a rapid or irregular heartbeat.",1
metaphor. It implies a forceful defeat or victory in a competitive situation.,"literal. Indicates physically sticking or attaching something, typically with glue or adhesive.",1
"literal. Literal action of physically affixing sign to wall, no figurative or symbolic meaning intended.","literal. The word ""paste"" is used literally in this context, meaning to affix with adhesive.",0
metaphor. Describes the intense feeling of cold penetrating deeply into her body.,metaphor. The cold cannot physically pierce bones; it describes intense cold sensation penetrating deeply.,1
"literal. Literal action of a sharp object penetrating skin, no symbolic meaning or comparison intended.","literal. The word ""pierced"" describes a physical action of the needle entering her flesh.",0
literal. Because it is a literal instruction for physically attaching the needle to the shirt fabric.,"literal. Refers to physically attaching a needle to a shirt, not a metaphorical action.",0
"literal. Used to describe a high-pitched metallic noise, like the sound of a bullet hitting metal.","literal. Indicates a high-pitched, metallic sound typically associated with a bullet hitting a surface.",0
literal. Describing a sound made by hitting or tapping the lamp shade.,"literal. Bugs physically made a high-pitched, short, sharp sound by hitting the lamp shade.",0
metaphor. It suggests a sudden and significant decrease in value or performance.,"literal. The term ""plunged"" is commonly used in financial contexts to describe a sudden drop.",1
metaphor. To suggest negative or harmful thoughts or ideas being introduced and spreading within the mind.,metaphorical. Poison is not a physical substance that can be physically transferred to someone's mind.,1
"literal. Clear indication of physical harm or toxicity, no implied symbolic meaning or metaphorical use.",literal. The sentence is describing the actual toxic effects of mushrooms when consumed.,0
literal. It caused harm or death,"literal. Indicates actual act of poisoning, not symbolic or figurative meaning.",0
literal. Because it describes a literal representation or depiction of the father in the painting.,literal. Describing the physical appearance of the father in a visual representation.,0
metaphor. Because it suggests the question is presented or presented in a certain way.,"literal. ""Pose"" is used to mean present or introduce, not as a figure of speech.",1
literal. Because it refers to the action of being in a specific position for a painting.,literal. The sentence refers to a specific person physically posing for Leonardo's artwork.,0
"metaphor. It implies they are securely confined or trapped, like animals in a pound.","literal. The word ""pounded"" typically means to hit or beat, indicating physical punishment.",1
metaphor. To indicate a large amount of financial investment or support in education.,"metaphor. Money cannot be physically poured, indicating a large amount was invested in education.",1
"literal. The word ""pour"" is used non-metaphorically in this sentence because it describes a literal action.","literal. The word ""pour"" is used to describe the action of physically pouring water.",0
"metaphor. ""Train fell quickly into river due to bridge breaking, similar to precipitation.""","literal. The bridge physically collapsed, causing the train to fall into the river.",1
"metaphor. Sudden and severe economic collapse due to mismanagement, corruption, or external factors.","metaphorical. Economies do not physically precipitate like rain, indicating a rapid decline.",1
literal. To protect and maintain their historical and cultural significance for future study and appreciation.,"literal. The word ""preserve"" is used in its literal sense of protecting and maintaining the findings.",0
"metaphor. It conveys a sudden feeling of guilt or shame, like being poked by a sharp object.","metaphorical. Conscience cannot be physically pricked, indicating a figurative usage of ""prick.""",1
"literal. To indicate a quick, minimal pain or sensation of a sharp object piercing the skin.","literal. The word ""pricked"" describes the action of physically piercing the skin with a needle.",0
metaphor. Exaggerated praise or promotion. Inflating the importance or quality of the Broadway production.,"metaphor. Critics did not physically inflate the production, they exaggerated its importance or quality.",1
"metaphor. To extract information forcefully or vigorously, as one would pump water from a well.","metaphor. Witnesses were not actually pumped with a machine, but questioned for information.",1
"metaphor. Because ""pushing"" implies reaching or approaching a certain age, not physically pushing something.","metaphor. Age cannot be physically pushed, indicating a figurative meaning of approaching fifty years old.",1
metaphor. To aggressively offer or sell drugs to students.,"metaphorical. Drugs cannot physically be pushed, suggesting the act of selling or promoting.",1
literal. Instructions for physical exertion or effort.,literal. The doctor is instructing the woman to physically exert force during childbirth.,0
literal. Refers to physical force exerted by people moving in a certain direction.,literal. Indicates physical action of crowd moving forward in a physical space.,0
"literal. Scientifically accurate language, describes the physical process of heat emission from the sun.",literal. The sun is a physical object that emits heat energy in the form of radiation.,0
literal. Literal action of police entering and searching for illegal drugs and arresting individuals.,literal. The police physically entered and searched the crack house.,0
literal. literal action of aggressively acquiring controlling interest in companies for investment purposes.,"metaphor. T. Boone Pickens did not physically steal from companies, but used aggressive strategies.",0
"metaphor. The feeling of happiness was fleeting or no longer present, making it impossible to recapture.","metaphor. ""Feeling of happiness"" is an emotion that cannot be physically recaptured.",1
"literal. Literal meaning, no figurative language or symbolic representation, straightforward action of capturing someone again.","literal. Refers to physically capturing the escaped prisoner, not using a metaphorical sense.",0
literal. The bell cracked physically and needed to be remolded and recast for functionality.,literal. The bell physically cracked and needed to be remolded and recast in its original form.,0
metaphor. Fame is transferred or reflected onto the heroes due to their actions or achievements.,"metaphorical. Fame does not physically bounce back to the heroes, it is figurative.",1
metaphor. The state of the dorm room is a reflection of the student's habits and cleanliness.,metaphor. The mess is not a physical reflection but a representation of the student's character.,1
metaphor. It suggests his actions are a negative reflection of his character or capabilities.,"metaphor. Lack of interest is not a physical reflection, but a representation of his character.",1
literal. Because it is a literal description of how the sunglasses are functioning in this sentence.,"literal. The sunglasses physically reflected his image, showing a direct reflection of him.",0
"literal. The smooth, hard surfaces of the auditorium walls and ceiling bounce sound waves effectively.","literal. Sound waves bounce off surfaces in the auditorium, creating a clear and distinct sound.",0
literal. It refers to making changes or improvements to the structure or functioning of the system.,literal. To make changes to the political system in order to improve it.,0
