"Well-maintained and dependable, like a Swiss watch.","Time is not physically running, but rather functioning smoothly and continuously",1,1
Highly accurate and consistent performance.,"Describing the rhythmic accuracy of the watch, not as a metaphor for something else",2,1
"Precision engineering, regular maintenance, durable materials, consistent performance.",It refers to the consistency and reliability of the timepiece's timekeeping,2,0
"Swiss watches are known for their precision and reliability, emphasizing the dependability of the machines.","Swiss refers to the origin or nationality of the watch, not a metaphorical concept",2,0
Because it refers to the precise and consistent performance of the object being described.,"Literal description of timekeeping, not symbolic or figurative",1,0
To indicate the most recent or final occurrence without implying a sequence.,"Specific time reference, not referring to a sequence of events or time",2,0
"Literal time reference, specific and factual information, no implied comparison or symbolism.","Specific time frame, factual information, no figurative language",3,0
"""wa"" is used to express the passive voice and indicate the subject of the sentence.","""wa"" is used as a conjunction to introduce the reason or cause for the announcement",2,0
"It is stating a fact or news event, not comparing to something else.",To indicate the formal declaration or communication of the information about the trams,2,0
Factual statement about future event.,"Future intention or prediction, not expressing a metaphorical concept or comparison",2,0
"""get"" implies acquisition or arrival of the new-wave trams in Britain in 1991.",Trams are not physical objects that can be physically obtained or received,2,1
"""it"" refers to the fact or information about Britain getting new trams in 1991.",To refer to the specific event or development that occurred in the past,2,0
Specific time and event referenced.,To indicate the initial or inaugural event of a new type or series,2,0
"These trams are innovative and cutting-edge in design, technology, and efficiency.",To indicate a recent or high-profile development or event,1,1
- Clear and literal description of a mode of transportation.,Describing new electric cars or technology,2,0
- The trams have a predetermined purpose to improve transportation and reduce pollution in Manchester.,"Boundaries are set by regulations or goals, not physical obstacles",1,1
"Not literal running, but operating efficiently and effectively to improve transportation and air quality.",Because they are expected to act as a distraction and improve traffic congestion in the city,1,1
"""Will"" indicates a future certainty or plan for the construction of the transportation system.",Because it indicates a future action or outcome based on a planned course of action,2,0
"Trams will provide an alternative mode of transportation, reducing reliance on cars and buses.",Relieving traffic congestion will reduce carbon dioxide levels in the city center,1,1
It describes the movement of vehicles on roads to alleviate congestion and reduce emissions.,Because it refers to the movement of goods and people in a specific area,2,0
Metaphorically refers to alleviating overcrowding and pollution by providing alternative transportation options.,"Congestion refers to the traffic congestion in cities, not a metaphorical concept",2,1
"Electric buses are environmentally friendly and reduce the reliance on cars, reducing pollution and congestion.","Facilitate efficient movement, improve air quality, and reduce emissions in the city",2,1
"Less cars on the road, less pollution, cleaner air, healthier environment, improved quality of life.",to reduce pollution and improve air quality in the city center and suburbs,2,1
"- To indicate the amount or extent of something (traffic congestion, carbon monoxide levels).","Describing the specific level of carbon dioxide in the city center, not a metaphorical concept",2,1
"Carbon is a chemical element present in carbon monoxide, a harmful pollutant emitted by vehicles.",Carbon is a literal element in the context of pollution and air quality,3,0
Carbon monoxide is a harmful gas produced by vehicle emissions.,Because it is a literal description of a harmful gas that contributes to pollution,3,0
Literal description of physical urban area or municipality with specific geographic boundaries.,"The term ""city"" is used literally to refer to urban areas in the sentence",3,0
Because it refers to a physical location or area within a city or town.,"Because it refers to the physical location of the city's central, urban areas",3,0
"Refers to areas outside the city center, not metaphorically.",Because it refers to the outer or most distant areas of the city,3,0
"This sentence is describing physical areas outside of the city center, not metaphorical locations.",Because it refers to specific geographical areas outside of the city's main centers,3,0
Because they are connected to the main city but are separate and orbit around it.,"Satellite refers to towns located on the edge of the city, not as a metaphor",1,1
"Literal description of geographic locations, not as metaphorical entities.","The term ""town"" is used literally to refer to specific geographical areas in the sentence",3,0
- Decline in popularity,Main is used to emphasize the main or most important exception in the context,2,0
"Decline in popularity, cost efficiency, modernization of transportation.","Rare, historical, or unique circumstances prevented them from being included in other books",1,0
"Decline in popularity, rise of buses and cars, high costs of maintenance and operation.",Describing a factual situation or fact,1,0
"Low popularity, high maintenance costs, modernization of transportation systems.",Forgetting is used to indicate that the trams were not remembered or highlighted in history books,1,0
"More efficient, cost-effective, and space-saving double-decker buses replaced single-decker trams in Britain.",Limited availability of single-deckers in Britain led to fewer stories about them,2,0
- Decline in popularity,"Limited availability, lack of popularity, and focus on other modes of transportation",2,0
"Decline in popularity, rise of other transportation options, high cost of maintenance.",Tram networks were not popular or relevant in Britain during the 1950s,2,0
- Decline in popularity,Because it is referring to the past and existence of trams in Britain,1,0
"Decline in popularity, rise of cars and buses, lack of funding and maintenance.","Limited availability, lack of popularity, overshadowed by other modes of transportation",2,0
- Decline in popularity,"Limited availability, lack of popularity, overshadowed by other modes of transportation",2,0
"Decline in popularity, rise of cars and buses, cost-effectiveness, changing transportation needs.","Because it refers to actual events and facts, not symbolic or figurative meaning",2,0
"Decline in popularity, rise of cars and buses, high operating costs, limited routes.","Because they were considered historical figures or events, not meant to be read literally",1,0
To indicate an alternative situation or condition.,To indicate that other locations are better or more suitable for seeing working trams,1,0
Crich tram museum has preserved trams and British Transport Commission films showcase historical footage.,"The term ""best"" is used non-metaphorically to indicate the most effective or suitable location",1,0
"It refers to a physical location or destination, not a metaphorical or abstract concept.",Describes a specific physical location,2,0
Describing a physical action or observation.,Used to describe visually observing or meeting the trammies in person,2,0
The trams are no longer in active service but can be seen in action at the museum.,"Describing the physical appearance or operation of the trams, not implying employment or productivity",2,1
To refer to actual tram vehicles and their operation.,Describing literal transportation methods,2,0
It is used to indicate an alternative option or choice.,"""ha"" is used as an interjection or sound of amusement, not as a metaphor",1,0
"""Been"" is used to indicate past experience or activity in a specific context.",Describing a past action or state,3,0
"The tram museum and films depict actual working trams, not metaphorical representations.",Describing literal transportation methods,2,0
"""Museum"" refers to a physical location showcasing historical trams, not a metaphorical concept.",Because it refers to a physical location where trains are displayed and transported,2,0
To indicate another option or alternative.,To indicate an alternative option or suggestion,3,0
"Referring to actual historical trams and films, not metaphorical or abstract concepts.",Describing the age of the trams in relation to the museum and comedy genre,2,0
"Film refers to actual cinematic recordings of trams in action, not metaphorical representations.",To describe physical representations or broadcasts of real-life events or imagery,2,0
Describing a specific genre of film.,"Because the term ""comedy"" is used to describe the genre of films made in the past",2,0
"Decline in popularity, rise of cars and buses, cost of maintenance and operation.",Literal description of urban transportation system,1,0
"Decline in popularity, rise of cars, cost of maintenance, increase in bus services.","Literal description of vehicles being replaced or eliminated, not symbolic or figurative",1,0
"Decline in popularity, rise of cars, cost of maintenance, urban planning changes.",Advancements in technology and urbanization led to decreased traffic and transportation costs,2,0
"Declining usage, rising car ownership, and government policies favoring buses and cars.",Describing the nationality or origin of the cities where trams disappeared,2,0
"Decline in popularity, rise of cars, cost-cutting measures, inefficient routes, maintenance issues, lack of funds.","Literal description of urban areas, not symbolic or figurative language",1,0
- Decline in popularity,"Increased urbanization, pollution, and social unrest led to decreased traffic and transportation",1,0
"The buses are personified as respected, old figures due to their long history and service.","Because it is describing the boat's appearance or quality, not using a metaphor",1,1
Describing the color of the buses.,Describing the boat's color,2,0
"Describes the actual color and design of the buses, not a metaphorical comparison.",Describing the boat's colors and appearance,2,0
"Describes the actual two-level buses in London, not a metaphorical comparison or figure of speech.","Describing the boat's two hulls side-by-side, one on each side of the boat",1,0
Literal description of the sound made by the buses traveling along the embankment.,To convey the sound of moving boats or aircraft,1,0
Describing physical location or structure.,Describing a physical location or landscape feature,3,0
"literal, referring to the final journey of the double-deckers in 1952.","The sentence refers to a specific event, not a metaphorical concept or action",2,0
"Literal description of the final journey of the buses, not a metaphorical reference to time.",To indicate a specific point in time,1,0
"Unique design, historical significance, nostalgia, cultural impact.",It is used to indicate an unexpected or unforeseen circumstance,1,0
"nostalgia, unique design, iconic transport, historic significance, cultural symbol",To evoke a vivid representation or image that symbolizes the past and present,2,1
"Descriptive, specific, memorable, visually striking, unique characteristics.","Describing physical height, not metaphorically representing height",2,0
"Descriptive, specific details create a vivid mental image for readers.",Describing physical appearance accurately,2,0
Emphasizes nostalgia and sadness for a bygone era of transportation.,"It conveys a sense of sadness, regret, and emptiness in the scene",2,1
"Descriptive and specific, common in British culture, evokes nostalgia for past transportation.","Describing the physical arrangement of the trilobite's body, not comparing it to something else",1,0
"Historical significance, cultural icon, nostalgic memories, unique design, memorable features.",Describing a physical object or structure,2,0
Clear and specific description of the tram.,To refer to the specific object or concept being described in the sentence,3,0
Describing the physical attributes of the tram.,"Describing the physical appearance of the trumans, not comparing them to something else",3,0
- Represents the physical structure of the tram,"Describing the physical appearance of the object, not implying emotions or characteristics",2,1
Describes physical appearance and material composition accurately.,"To convey the appearance of the boat being grand and luxurious, like a throne",1,0
Describes physical characteristics accurately.,"Describing the physical appearance of the trumans, not comparing them to something else",2,0
Describing physical attributes and characteristics of the tram.,It conveys the idea of the car being trapped or imprinted on the mind,1,0
It evokes nostalgia and sensory memory.,"To convey the sense of menace, danger, and impending threat of the electric motor",1,1
"Describing the physical characteristics and function of the tram, not implying any metaphorical meaning.",Describing the actual presence of the electric motor on the trampoline,2,0
"Description of physical object, not symbolic or figurative.",Describing a physical object or phenomenon,3,0
"The image of the tram is memorable and unique, evoking nostalgia and a sense of history.","""ha"" is used as an interjection expressing surprise or realization, not as a metaphor",1,0
"Distinctive, nostalgic, iconic, unique design and sound, historical significance, cultural impact, memorable experience.",Memories of Van Gogh's tragic life are deeply ingrained in the public consciousness,1,1
"Iconic historical symbol, nostalgia, cultural significance, unique design, part of British transportation history.",Because it is describing a specific cultural identity and historical context,1,0
"nostalgia, iconic symbol, cultural significance",Because it refers to the collective consciousness or memory of a countryman,1,1
"This sentence is stating a belief about trams, not using the word metaphorically.","Literal reference to vehicles, not symbolic or figurative language",2,0
"""wa"" is used as a conjunction to introduce a surprising or contrasting statement.","""wa"" is used as a conjunction to connect the two clauses in the sentence",3,0
The statement is based on a commonly held belief without any figurative or symbolic meaning.,"The statement is based on a previous belief or assumption, not a metaphorical concept",3,0
The belief was common until new information or evidence disproved it.,The statement is based on evidence or observations that suggest dinosaurs were outdated,2,0
"Trams were thought to be outdated until a short time ago, likely due to lack of information.","The statement is referring to a specific time period in the past, not metaphorically",1,0
"The sentence is stating a fact, not comparing trams to something else.","""are"" is used non-metaphorically because it is stating a fact or characteristic about tramps",2,0
Trams were considered outdated due to advancements in transportation technology.,"Historical norms, belief in outdated technology, high maintenance costs, and limited accessibility to modern amenities",1,0
Describing a past era or memory,To indicate possession or involvement in a specific activity or event,2,1
"Describing specific memories or experiences, not abstract concepts or ideas.",To indicate an unspecified object or subject,1,0
- To indicate involvement or association with a particular time or place.,Describing a specific action or task being carried out by the people in the sentence,2,1
"Describing a specific cultural reference or memory, not using fish as a metaphor.","Literal reference to food items, not symbolic or figurative",2,0
Describing a specific physical object or food item.,Describing a specific item or concept,3,0
"Describing a physical object, not a concept.","Describing the physical act of wrapping newspaper in fish and chips, not metaphorical",2,0
"Describing a literal practice or memory, not as a symbol or comparison.","Literal reference to physical newspapers used for wrapping fish and chips, not metaphorical",1,0
"Describing specific individuals or groups of people in a literal sense, not as a metaphor.",Describing a specific group of people based on their appearance and attire,3,0
Describing physical appearance or clothing items.,Describing a specific item or concept,3,0
"Spec is short for spectacles, meaning eyeglasses, referring to the style of glasses worn.",To describe the type or title of the article or document being referenced,1,0
"Literal description of a polluted city environment, common in mid-20th century England.","Describing a specific type of pollution, not a metaphorical concept",2,0
"Describing the texture or consistency of egg in powdered form, not metaphorical or abstract.","Describing the actual food being served at a party, not a metaphorical use of ""powdered.""Is “cue” used metaphorically in “The final symbolic cue used to make sense of the 1980������1 protests is more difficult to categorize, but its basic meaning can be captured by the term political marginality.”?",2,0
Describing a specific food item or ingredient in a list of nostalgic memories.,"Literal description of food item, not symbolic or figurative",2,0
to indicate causing delay or obstruction in movement.,To symbolize preventing or hindering progress of private motorists on diesel buses,1,1
"The buses are not literally bright, but symbolize progress and modernization in the city.","The new diesel buses are visually appealing and may attract customers, but they hinder traffic",2,1
"The buses are physically new, causing congestion for private motorists in the city.","Literal description of recently acquired diesel buses, not referring to age or novelty",2,0
"Describes the type of buses being referred to, specific type of vehicles mentioned.","Describing actual diesel buses, not a metaphor for something else",3,0
"Literal description of vehicles and traffic situation, not symbolic or figurative language.",Literal description of transportation methods,3,0
It's describing a specific situation without comparing it to something else.,"Literal description of extreme circumstances, not comparing to something else",3,0
"The sentence describes negative actions or situations, not just a comparative level of badness.","Worse is used to describe the negative consequences of the situation, not as a metaphor",2,0
"The buses and cars congested the streets, hindering the movement of other vehicles.",To prevent vehicles from passing through or entering the restricted area,2,1
It refers to physical advancement or development of transportation systems in the city.,"Literal description of movement, not symbolic or figurative",2,0
"Describing motorists as ""private"" refers to their ownership of personal vehicles, not metaphorically.","Referring to actual vehicles owned by individuals or companies, not metaphorical or symbolic",2,0
"The term ""motorist"" is used literally to refer to people who drive cars.","Literal description of individuals operating vehicles, not symbolic or figurative language",3,0
"To describe the large, bulky shape and appearance of the vehicles in a negative way.","Describing the appearance or shape of the buses, not referring to their physical size",3,1
"To describe the vehicles as large, heavy, and clumsy.","Describing the physical appearance of the bus, not comparing it to something else",2,1
"Traffic congestion creates a narrow, obstructive environment similar to a canyon.","Describing the physical shape of the city streets, not comparing them to a canyon",2,1
Describing physical characteristics and layout of the urban environment.,"Literal description of physical urban areas, not symbolic or figurative language",2,0
"The term ""thoroughfare"" is used literally to describe city streets or roads for vehicles.","Literal description of physical urban spaces, not a metaphor or abstract concept",3,0
"Expressing the idea of absorbing or gaining power, rather than physically lifting or selecting something.","Metaphorically means they seized or conquered power, not physically picking something up",2,1
It refers to electricity being transferred through the wires for use by the individuals.,"To convey intensity, danger, and sensation",1,0
"Complex, interconnected, and intricate network of wires resembles a spider's web structure.","Describing a physical object, not comparing or symbolizing",1,1
"To convey complexity, interconnectedness, fragility, or entanglement of the overhead wires system.",Literal description of a physical structure or web used for communication or surveillance,1,1
Describing the wires as unattractive or visually displeasing.,"The wires are physically unsightly, not metaphorically ugly or undesirable",2,0
Describes physical location of wires above ground.,"Describing physical location of wires above a person or object, not metaphorical",3,0
"Literal description of physical electrical wires, not metaphorical comparison or abstract concept.","Describing physical structure of a web, not metaphorical connection or influence",2,0
- Essential for city traffic flow,It is describing the function or purpose of the key in maintaining city streets,2,1
Key is used literally to describe the importance and central role of traffic lights in cities.,Key is used non-metaphorically to emphasize its importance in maintaining city streets' flow and activity,3,0
"It influences traffic flow, safety, and urban design aesthetics.",It symbolizes the importance and function of urban streets in a modern society,2,1
City streets need efficient transportation systems for smooth traffic flow and aesthetic appeal.,"Literal description of urban areas, not symbolic or figurative",2,0
It refers to physical roads or pathways for transportation and design.,"Literal description of physical space and movement, essential for urban planning and design",2,0
It refers to the transportation system's function in keeping traffic flowing smoothly.,"Describes physical action of streets, not abstract concept",2,0
Describing a factual function or attribute.,Describing a specific role or quality in a straightforward manner,2,0
It refers to an actual characteristic or quality of the object being discussed.,It is used to emphasize the importance and impact of the role in keeping city streets moving,1,0
"It is a tangible, physical thing that serves a specific function or purpose.",Because it is referring to an actual object or person in the context of the sentence,2,0
"Efficiency, functionality, aesthetics, and innovation.","Innovative design, functional layout, visually appealing, promotes walking, energy savings, public health concerns",2,0
#NAME?,"Describing the contemporary design of the bike, not comparing it to something else",1,0
City streets require functional design for traffic flow and aesthetics.,Because it refers to individuals who create and improve urban environments through design,2,0
Desire for efficient city street design drives modern designers to create innovative solutions.,Desire is a genuine expression of appreciation and excitement for modern design,2,0
The Jumbo will have a long-lasting impact on Milan's streets due to its design.,Metaphorically refers to the time period between the present event and the future one,1,1
"Because it refers to a specific unit, the Jumbo, designed by Klaus Giovanni Koenig.",It is used to emphasize that Koenig's design will be widely recognized and recognized in the future,2,0
"Jumbo refers to a specific type of vehicle, not an exaggeration or metaphor.","It is referring to a large, extravagant and distinctive man-shaped object",2,0
"Because the Jumbo is visually striking and impressive, not actually physically attractive.","Describing the physical appearance and quality of the Jumbo, not using it as a metaphor",2,1
describing physical appearance or presence accurately.,Because it is describing a future action or state that is expected to happen,2,0
To describe a specific type of vehicle design.,"It is describing the physical appearance and functionality of the Jumbo, not abstract concepts",2,0
Describing a specific physical object.,It refers to a specific physical object or entity,3,0
To describe the intentional creation of the unit by Klaus Giovanni Koenig.,"Describing the creation and planning of the Jumbo, not implying a metaphorical meaning",2,0
Specifically refers to a person who designs buildings and structures.,"It refers to the designer of the Jumbo, a physical architect working on a project",2,0
It is referring to a person who designs and constructs physical structures or machinery.,"The term ""engineer"" is used non-metaphorically because it refers to a specific profession",2,0
It is referring to Klaus Giovanni Koenig's profession as an architect and critic.,It is referring to a person who provides analysis and commentary on design,2,0
Literal future tense for a planned event or action.,"Future certainty, planned appearance, historical significance, iconic status, cultural value, iconic architecture",2,0
Literal description of a physical object's presence and visibility.,Koenig's design will be widely recognized and appreciated in the future,1,0
Literal description of where the Jumbo will be seen and operated.,Because it refers to the physical location where the Jumbo will be displayed and lived,3,0
It will be in use for a long time due to its design and functionality.,Koenig's work on the Jumbo will continue for the next decade,2,1
It implies a long-lasting impact or presence in Milan's urban landscape.,Specifies a specific period of time for the duration of the sentence,2,1
The power station's clean burning makes the tram virtually pollution free.,"The sentence is discussing a realistic scenario, not a metaphorical one",1,1
Describing the actual function of the power station and its impact on pollution levels.,"Literal description of the station's ability to handle pollution, not a metaphorical reference",2,0
Literal description of a physical location or facility for generating power.,"Literal description of a physical location or facility, not a symbolic or metaphorical reference",3,0
"literal location, physical location, final destination, last stop, actual physical place",Literal description of the station's completion and absence of pollution,2,0
The power station is physically located at the end of the tram line.,Literal description of a physical boundary or segment of a network,2,0
"The power station generates electricity for the tram, resulting in minimal emissions.","literal description of a physical event or action, not a metaphor or comparison",1,1
"Advanced technology, efficient fuel combustion, emission control systems, and proper maintenance.",The power station was not affected by the smoke or pollutants from the burning process,1,0
"Trams run on electricity, not fossil fuels.","Literal transportation method, not symbolic or figurative",2,0
Describing a factual condition or state of being.,"Literal description of the power station's condition, not implying any comparison or symbolic meaning",2,0
Power station emissions are not directly released into the atmosphere where the tram operates.,The power station is fully functional and not in any way affected by the tram's pollution,2,0
"The power station burns cleanly, reducing emissions and pollution from the tram.",Literal description of the environment where the tram is traveling,1,0
The power station produces less pollution compared to other forms of transportation.,No fossil fuel or metal is used in the construction of the trampoline,0,1
"The airplane is not actually standing, but stationary on the ground waiting at the traffic lights.","Literal description of physical position, not symbolic or metaphorical",1,1
"Literal description of a vehicle stopped at a traffic light, no figurative meaning implied.","Describing the actual movement of vehicles on the road, not a metaphor for something else",2,0
- Describing the physical appearance of the Koenig-designed Jumbo,"Describing the physical appearance of the car, not using ""light"" metaphorically",2,0
"Koenig-designed refers to the specific design of the Jumbo, not a metaphorical concept.","Describing the specific design and features of the car, not using metaphorical language",2,0
"The term ""Jumbo"" is used to refer to a specific model or type of vehicle.","Literal description of a large, luxurious car designed for speed and luxury",2,0
"Describing a physical object or state of being, not implying comparison or metaphor.","Literal description of the object, not comparing or symbolizing anything",3,0
"Literal description of the noise level of the Jumbo, no figurative meaning implied.","Because the sentence is describing a physical action or state of being, not a metaphorical concept",2,0
"The chatter inside the Jumbo is an actual noise, not a metaphorical conversation.","Chatter refers to the sound of the traffic light turning, not a metaphorical concept",1,0
"Because it is describing the physical location of the noise, not a figurative or abstract concept.","Inside refers to the physical space where the conversation is taking place, not a metaphorical concept",2,0
"Aircraft engines are turned off at traffic lights, reducing noise pollution and fuel consumption.","The light is physically empty, not functioning or representing something else",1,0
The Koenig-designed Jumbo has a quiet engine or electric power source.,"Practical design, lack of sound insulation, and sleek aesthetics make the Koenig-designed Jumbo silent",2,0
Describing physical wires above without implying hidden costs or responsibilities.,"Describing physical location, not abstract concept",2,0
"Describing physical characteristics, not symbolic or figurative.","Describing physical characteristics of a structure, not using metaphor or symbolism",3,0
"The statement is describing a physical, observable characteristic of the overhead wires.","""are"" is used to indicate a state of being or existence, not as a metaphor",2,0
Describing the wires' physical appearance and not comparing them to anything else.,To emphasize the degree of difficulty or difficulty in seeing the overhead wires,2,0
"The wires are thin and not easily visible, requiring close observation to notice them.",The wires are physically small and not noticeable compared to other objects or surroundings,3,1
"Literal description, physical presence, observational statement.","Literal description of physical action, not abstract concept or emotion",2,0
"The sentence describes a physical action of seeing, not a metaphorical or abstract concept.","Literal description of physically looking at the wires, no metaphorical meaning implied",2,0
"The wires are thin and not easily visible, requiring effort to notice them.","Describing the physical difficulty of seeing the wires, not a metaphorical concept",2,1
