sent1,sent2,label
literal. Describing the physical attributes and characteristics of electric scooters.,"literal. Describing the physical attributes of the houses, not implying existence or possession",0
"literal. Efficient, convenient, cost-effective, eco-friendly, and space-saving.","literal. Sleek is used to describe the appearance or quality of the buildings, not metaphorically",0
"literal. Compact, energy-efficient, easy to maneuver, reduce traffic congestion and emissions.","literal. They are well-insulated, have good insulation, and are low maintenance",0
"metaphor. Efficient, sustainable, compact, and convenient for navigating urban areas.","metaphor. Symbolic of formality, legitimacy, and orderliness",1
"literal. referring to physical, urban areas or locations within a municipality or town.","literal. Describing physical location and layout, not symbolic or abstract",0
"literal. Electric scooters are physically used for transportation in cities, not as a metaphor.","literal. Literal description of movement, not symbolic or figurative",0
literal. To indicate an additional quality or characteristic of the subject being described in the sentence.,literal. To indicate an additional or contrasting action or role,0
metaphor. - Expresses the captivating and mesmerizing quality of snakes moving through various settings.,"metaphor. To convey the sense of control, power, and influence they have over the city",1
literal. The snakes' movements and behavior are intriguing and captivating to observe.,literal. Because it describes a strong emotional connection or fascination with something specific,0
"literal. ""Very"" is used for emphasis, intensifying the fascination of the snakes and their actions.",literal. Because it is used to emphasize the intensity of the fascination and the unique way it feels,0
"literal. Describing the snakes' unique and captivating behavior and appearance, not exaggerating or comparing.",literal. Because it is describing the intensity or significance of the fascination with the circuses,0
literal. Referring to specific objects or entities (train tracks) possessed by the subject (trains).,literal. Because it refers to the people mentioned previously in the sentence,0
literal. Own refers to unique characteristics or qualities that are specific to the subject being described.,literal. Literal possession or belonging to the group of people mentioned in the sentence,0
metaphor. - To convey a sense of movement and unpredictability,metaphor. Because it describes the movement of the animal in a poetic and abstract way,1
literal. Describing the physical movement of trains.,literal. Describing physical movement or position in a specific location or environment,0
literal. Describing literal physical movements and actions of snakes in a circus setting.,metaphor. To convey the sense of movement and energy in the scene described,0
metaphor. - To convey movement and speed,"metaphor. To convey the idea of movement, energy, and impact in the scene",1
"literal. The old city gates are physical objects, not metaphorical representations.","metaphor. Because old city gates symbolize vulnerability, destruction, and remnants of past conflicts",0
literal. The city gates are physical structures that the trains interact with in reality.,"literal. Describing physical location, not symbolic or abstract",0
literal. Describing physical movement and behavior of trains.,literal. Describing physical features of an object,0
"literal. Describing the actual action of trains switching tracks and creating sparks, not metaphorical.",metaphor. To convey the sudden and energetic movement of the characters through the city,0
literal. Describing the physical motion and appearance of the trains.,literal. Describing physical movement or location,0
literal. Describes the actual sparks produced by the trains as they change tracks.,metaphor. To convey the sudden and powerful movement of electricity through urban environments,0
"literal. Describing the physical movement of snakes, not implying a change or transition.","metaphor. To convey the idea of changing direction or path, or making a sudden change",0
"literal. The word ""track"" is used literally to refer to the path or route taken by trains.",literal. Describing physical movement or direction,0
"literal. Describing actual physical activity and behavior, not abstract or symbolic.",literal. Describing a specific time of year for setting the scene and creating a sense of atmosphere,0
"literal. Describing literal actions of trains at night, not metaphorical or symbolic.","literal. Describing the actual time of day, not using ""night"" as a metaphor",0
literal. Single-car trams are reliable due to their simplicity and ability to navigate tight spaces.,"literal. Safety, convenience, speed, and easy access for passengers",0
"literal. Articulated means connected by joints, which accurately describes the design of trams.","literal. Because it is describing the physical structure of a vehicle, not an abstract concept",0
literal. Double-decker trams offer more seating capacity and efficient use of space.,literal. It is referring to a type of bus that is designed to transport multiple passengers,0
"literal. Efficient, eco-friendly, cost-effective, and proven track record for reliability.",literal. Because it is referring to a mode of transportation on a public road,0
literal. Describing a characteristic or feature of trams without implying a comparison or metaphor.,"literal. ""are"" is used to describe the existence or presence of single-car, articulated or double-decker transport",0
"literal. Dedicated tracks, consistent schedules, and low maintenance requirements contribute to their reliability and endurance.","literal. It is a statement of fact about the popularity and durability of single-car, articulated trams",0
"literal. Dedicated tracks, predictable schedules, low maintenance, and low risk of breakdowns.",literal. Tram systems are highly reliable and can handle heavy traffic with minimal maintenance,0
literal. - Low maintenance,"literal. Because they are simple, affordable, and widely used in the public transportation system",0
metaphor. - Multiple configurations,literal. Because it is referring to the physical structure or design of the cars mentioned,1
"literal. Accessible to all, funded by public resources, and used by multiple passengers simultaneously.","literal. Literal use for transportation by government or society at large, not metaphorical or symbolic",0
"literal. Efficient, accessible, environmentally friendly, and cost-effective.",literal. Literal use for transportation because it refers to moving people from one place to another,0
literal. Trams have been in use for over a century and continue to be popular globally.,"literal. Because it is referring to the actual creation or development of trams, not a metaphorical concept",0
"literal. Efficiency, durability, and precision make them reliable despite their age and eventual replacement.","literal. Time will pass, but the watch will always be accurate and reliable",0
"literal. Regular maintenance, quality construction, and proper care ensure their continued reliability over time.",literal. Describing a future event or action that is expected to happen,0
literal. Literal description of functionality and long-lasting quality.,"literal. ""be"" is used non-metaphorically to indicate future state or condition",0
literal. Technological advancements and improvements in efficiency make replacement necessary.,"literal. Literal replacement of the watch, not a metaphorical concept",0
literal. The 60-year-old machines still function well and operate smoothly like a Swiss watch.,"literal. ""More"" is used to indicate a longer period of time in the future",0
"literal. Literal reference to a specific time period, not metaphorical or symbolic.","literal. The sentence is referring to a specific period of time, not a metaphorical concept",0
"metaphor. Well-maintained and dependable, like a Swiss watch.","metaphor. Time is not physically running, but rather functioning smoothly and continuously",1
metaphor. Highly accurate and consistent performance.,"literal. Describing the rhythmic accuracy of the watch, not as a metaphor for something else",1
"literal. Precision engineering, regular maintenance, durable materials, consistent performance.",literal. It refers to the consistency and reliability of the timepiece's timekeeping,0
"literal. Swiss watches are known for their precision and reliability, emphasizing the dependability of the machines.","literal. Swiss refers to the origin or nationality of the watch, not a metaphorical concept",0
literal. Because it refers to the precise and consistent performance of the object being described.,"literal. Literal description of timekeeping, not symbolic or figurative",0
literal. To indicate the most recent or final occurrence without implying a sequence.,"literal. Specific time reference, not referring to a sequence of events or time",0
"literal. Literal time reference, specific and factual information, no implied comparison or symbolism.","literal. Specific time frame, factual information, no figurative language",0
"literal. ""wa"" is used to express the passive voice and indicate the subject of the sentence.","literal. ""wa"" is used as a conjunction to introduce the reason or cause for the announcement",0
"literal. It is stating a fact or news event, not comparing to something else.",literal. To indicate the formal declaration or communication of the information about the trams,0
literal. Factual statement about future event.,"literal. Future intention or prediction, not expressing a metaphorical concept or comparison",0
"metaphor. ""get"" implies acquisition or arrival of the new-wave trams in Britain in 1991.",metaphor. Trams are not physical objects that can be physically obtained or received,1
"literal. ""it"" refers to the fact or information about Britain getting new trams in 1991.",literal. To refer to the specific event or development that occurred in the past,0
literal. Specific time and event referenced.,literal. To indicate the initial or inaugural event of a new type or series,0
"metaphor. These trams are innovative and cutting-edge in design, technology, and efficiency.",metaphor. To indicate a recent or high-profile development or event,1
literal. - Clear and literal description of a mode of transportation.,literal. Describing new electric cars or technology,0
metaphor. - The trams have a predetermined purpose to improve transportation and reduce pollution in Manchester.,"metaphor. Boundaries are set by regulations or goals, not physical obstacles",1
"metaphor. Not literal running, but operating efficiently and effectively to improve transportation and air quality.",metaphor. Because they are expected to act as a distraction and improve traffic congestion in the city,1
"literal. ""Will"" indicates a future certainty or plan for the construction of the transportation system.",literal. Because it indicates a future action or outcome based on a planned course of action,0
"metaphor. Trams will provide an alternative mode of transportation, reducing reliance on cars and buses.",literal. Relieving traffic congestion will reduce carbon dioxide levels in the city center,1
literal. It describes the movement of vehicles on roads to alleviate congestion and reduce emissions.,literal. Because it refers to the movement of goods and people in a specific area,0
metaphor. Metaphorically refers to alleviating overcrowding and pollution by providing alternative transportation options.,"literal. Congestion refers to the traffic congestion in cities, not a metaphorical concept",1
"metaphor. Electric buses are environmentally friendly and reduce the reliance on cars, reducing pollution and congestion.","metaphor. Facilitate efficient movement, improve air quality, and reduce emissions in the city",1
"metaphor. Less cars on the road, less pollution, cleaner air, healthier environment, improved quality of life.",metaphor. to reduce pollution and improve air quality in the city center and suburbs,1
"metaphor. - To indicate the amount or extent of something (traffic congestion, carbon monoxide levels).","literal. Describing the specific level of carbon dioxide in the city center, not a metaphorical concept",1
"literal. Carbon is a chemical element present in carbon monoxide, a harmful pollutant emitted by vehicles.",literal. Carbon is a literal element in the context of pollution and air quality,0
literal. Carbon monoxide is a harmful gas produced by vehicle emissions.,literal. Because it is a literal description of a harmful gas that contributes to pollution,0
literal. Literal description of physical urban area or municipality with specific geographic boundaries.,"literal. The term ""city"" is used literally to refer to urban areas in the sentence",0
literal. Because it refers to a physical location or area within a city or town.,"literal. Because it refers to the physical location of the city's central, urban areas",0
"literal. Refers to areas outside the city center, not metaphorically.",literal. Because it refers to the outer or most distant areas of the city,0
"literal. This sentence is describing physical areas outside of the city center, not metaphorical locations.",literal. Because it refers to specific geographical areas outside of the city's main centers,0
metaphor. Because they are connected to the main city but are separate and orbit around it.,"literal. Satellite refers to towns located on the edge of the city, not as a metaphor",1
"literal. Literal description of geographic locations, not as metaphorical entities.","literal. The term ""town"" is used literally to refer to specific geographical areas in the sentence",0
literal. - Decline in popularity,literal. Main is used to emphasize the main or most important exception in the context,0
"literal. Decline in popularity, cost efficiency, modernization of transportation.","literal. Rare, historical, or unique circumstances prevented them from being included in other books",0
"literal. Decline in popularity, rise of buses and cars, high costs of maintenance and operation.",literal. Describing a factual situation or fact,0
"literal. Low popularity, high maintenance costs, modernization of transportation systems.",literal. Forgetting is used to indicate that the trams were not remembered or highlighted in history books,0
"literal. More efficient, cost-effective, and space-saving double-decker buses replaced single-decker trams in Britain.",literal. Limited availability of single-deckers in Britain led to fewer stories about them,0
literal. - Decline in popularity,"literal. Limited availability, lack of popularity, and focus on other modes of transportation",0
"literal. Decline in popularity, rise of other transportation options, high cost of maintenance.",literal. Tram networks were not popular or relevant in Britain during the 1950s,0
literal. - Decline in popularity,literal. Because it is referring to the past and existence of trams in Britain,0
"literal. Decline in popularity, rise of cars and buses, lack of funding and maintenance.","literal. Limited availability, lack of popularity, overshadowed by other modes of transportation",0
literal. - Decline in popularity,"literal. Limited availability, lack of popularity, overshadowed by other modes of transportation",0
"literal. Decline in popularity, rise of cars and buses, cost-effectiveness, changing transportation needs.","literal. Because it refers to actual events and facts, not symbolic or figurative meaning",0
"literal. Decline in popularity, rise of cars and buses, high operating costs, limited routes.","literal. Because they were considered historical figures or events, not meant to be read literally",0
literal. To indicate an alternative situation or condition.,literal. To indicate that other locations are better or more suitable for seeing working trams,0
literal. Crich tram museum has preserved trams and British Transport Commission films showcase historical footage.,"literal. The term ""best"" is used non-metaphorically to indicate the most effective or suitable location",0
"literal. It refers to a physical location or destination, not a metaphorical or abstract concept.",literal. Describes a specific physical location,0
literal. Describing a physical action or observation.,literal. Used to describe visually observing or meeting the trammies in person,0
metaphor. The trams are no longer in active service but can be seen in action at the museum.,"literal. Describing the physical appearance or operation of the trams, not implying employment or productivity",1
literal. To refer to actual tram vehicles and their operation.,literal. Describing literal transportation methods,0
literal. It is used to indicate an alternative option or choice.,"literal. ""ha"" is used as an interjection or sound of amusement, not as a metaphor",0
"literal. ""Been"" is used to indicate past experience or activity in a specific context.",literal. Describing a past action or state,0
"literal. The tram museum and films depict actual working trams, not metaphorical representations.",literal. Describing literal transportation methods,0
"literal. ""Museum"" refers to a physical location showcasing historical trams, not a metaphorical concept.",literal. Because it refers to a physical location where trains are displayed and transported,0
literal. To indicate another option or alternative.,literal. To indicate an alternative option or suggestion,0
"literal. Referring to actual historical trams and films, not metaphorical or abstract concepts.",literal. Describing the age of the trams in relation to the museum and comedy genre,0
"literal. Film refers to actual cinematic recordings of trams in action, not metaphorical representations.",literal. To describe physical representations or broadcasts of real-life events or imagery,0
literal. Describing a specific genre of film.,"literal. Because the term ""comedy"" is used to describe the genre of films made in the past",0
"literal. Decline in popularity, rise of cars and buses, cost of maintenance and operation.",literal. Literal description of urban transportation system,0
"literal. Decline in popularity, rise of cars, cost of maintenance, increase in bus services.","literal. Literal description of vehicles being replaced or eliminated, not symbolic or figurative",0
"literal. Decline in popularity, rise of cars, cost of maintenance, urban planning changes.",literal. Advancements in technology and urbanization led to decreased traffic and transportation costs,0
"literal. Declining usage, rising car ownership, and government policies favoring buses and cars.",literal. Describing the nationality or origin of the cities where trams disappeared,0
"literal. Decline in popularity, rise of cars, cost-cutting measures, inefficient routes, maintenance issues, lack of funds.","literal. Literal description of urban areas, not symbolic or figurative language",0
literal. - Decline in popularity,"literal. Increased urbanization, pollution, and social unrest led to decreased traffic and transportation",0
"metaphor. The buses are personified as respected, old figures due to their long history and service.","literal. Because it is describing the boat's appearance or quality, not using a metaphor",1
literal. Describing the color of the buses.,literal. Describing the boat's color,0
"literal. Describes the actual color and design of the buses, not a metaphorical comparison.",literal. Describing the boat's colors and appearance,0
"literal. Describes the actual two-level buses in London, not a metaphorical comparison or figure of speech.","literal. Describing the boat's two hulls side-by-side, one on each side of the boat",0
literal. Literal description of the sound made by the buses traveling along the embankment.,metaphor. To convey the sound of moving boats or aircraft,0
literal. Describing physical location or structure.,literal. Describing a physical location or landscape feature,0
"literal. literal, referring to the final journey of the double-deckers in 1952.","literal. The sentence refers to a specific event, not a metaphorical concept or action",0
"literal. Literal description of the final journey of the buses, not a metaphorical reference to time.",literal. To indicate a specific point in time,0
"literal. Unique design, historical significance, nostalgia, cultural impact.",literal. It is used to indicate an unexpected or unforeseen circumstance,0
"metaphor. nostalgia, unique design, iconic transport, historic significance, cultural symbol",metaphor. To evoke a vivid representation or image that symbolizes the past and present,1
"literal. Descriptive, specific, memorable, visually striking, unique characteristics.","literal. Describing physical height, not metaphorically representing height",0
"literal. Descriptive, specific details create a vivid mental image for readers.",literal. Describing physical appearance accurately,0
metaphor. Emphasizes nostalgia and sadness for a bygone era of transportation.,"metaphor. It conveys a sense of sadness, regret, and emptiness in the scene",1
"literal. Descriptive and specific, common in British culture, evokes nostalgia for past transportation.","literal. Describing the physical arrangement of the trilobite's body, not comparing it to something else",0
"literal. Historical significance, cultural icon, nostalgic memories, unique design, memorable features.",literal. Describing a physical object or structure,0
literal. Clear and specific description of the tram.,literal. To refer to the specific object or concept being described in the sentence,0
literal. Describing the physical attributes of the tram.,"literal. Describing the physical appearance of the trumans, not comparing them to something else",0
metaphor. - Represents the physical structure of the tram,"literal. Describing the physical appearance of the object, not implying emotions or characteristics",1
literal. Describes physical appearance and material composition accurately.,"metaphor. To convey the appearance of the boat being grand and luxurious, like a throne",0
literal. Describes physical characteristics accurately.,"literal. Describing the physical appearance of the trumans, not comparing them to something else",0
literal. Describing physical attributes and characteristics of the tram.,metaphor. It conveys the idea of the car being trapped or imprinted on the mind,0
metaphor. It evokes nostalgia and sensory memory.,"metaphor. To convey the sense of menace, danger, and impending threat of the electric motor",1
"literal. Describing the physical characteristics and function of the tram, not implying any metaphorical meaning.",literal. Describing the actual presence of the electric motor on the trampoline,0
"literal. Description of physical object, not symbolic or figurative.",literal. Describing a physical object or phenomenon,0
"literal. The image of the tram is memorable and unique, evoking nostalgia and a sense of history.","literal. ""ha"" is used as an interjection expressing surprise or realization, not as a metaphor",0
"metaphor. Distinctive, nostalgic, iconic, unique design and sound, historical significance, cultural impact, memorable experience.",metaphor. Memories of Van Gogh's tragic life are deeply ingrained in the public consciousness,1
"literal. Iconic historical symbol, nostalgia, cultural significance, unique design, part of British transportation history.",literal. Because it is describing a specific cultural identity and historical context,0
"metaphor. nostalgia, iconic symbol, cultural significance",literal. Because it refers to the collective consciousness or memory of a countryman,1
"literal. This sentence is stating a belief about trams, not using the word metaphorically.","literal. Literal reference to vehicles, not symbolic or figurative language",0
"literal. ""wa"" is used as a conjunction to introduce a surprising or contrasting statement.","literal. ""wa"" is used as a conjunction to connect the two clauses in the sentence",0
literal. The statement is based on a commonly held belief without any figurative or symbolic meaning.,"literal. The statement is based on a previous belief or assumption, not a metaphorical concept",0
literal. The belief was common until new information or evidence disproved it.,literal. The statement is based on evidence or observations that suggest dinosaurs were outdated,0
"literal. Trams were thought to be outdated until a short time ago, likely due to lack of information.","literal. The statement is referring to a specific time period in the past, not metaphorically",0
"literal. The sentence is stating a fact, not comparing trams to something else.","literal. ""are"" is used non-metaphorically because it is stating a fact or characteristic about tramps",0
literal. Trams were considered outdated due to advancements in transportation technology.,"literal. Historical norms, belief in outdated technology, high maintenance costs, and limited accessibility to modern amenities",0
metaphor. Describing a past era or memory. Emphasizing nostalgia or connection to a specific time or experience.,metaphor. To indicate possession or involvement in a specific activity or event,1
"literal. Describing specific memories or experiences, not abstract concepts or ideas.",literal. To indicate an unspecified object or subject,0
metaphor. - To indicate involvement or association with a particular time or place.,literal. Describing a specific action or task being carried out by the people in the sentence,1
"literal. Describing a specific cultural reference or memory, not using fish as a metaphor.","literal. Literal reference to food items, not symbolic or figurative",0
literal. Describing a specific physical object or food item.,literal. Describing a specific item or concept,0
"literal. Describing a physical object, not a concept.","literal. Describing the physical act of wrapping newspaper in fish and chips, not metaphorical",0
"literal. Describing a literal practice or memory, not as a symbol or comparison.","literal. Literal reference to physical newspapers used for wrapping fish and chips, not metaphorical",0
"literal. Describing specific individuals or groups of people in a literal sense, not as a metaphor.",literal. Describing a specific group of people based on their appearance and attire,0
literal. Describing physical appearance or clothing items.,literal. Describing a specific item or concept,0
"literal. Spec is short for spectacles, meaning eyeglasses, referring to the style of glasses worn.",literal. To describe the type or title of the article or document being referenced,0
"literal. Literal description of a polluted city environment, common in mid-20th century England.","literal. Describing a specific type of pollution, not a metaphorical concept",0
"literal. Describing the texture or consistency of egg in powdered form, not metaphorical or abstract.","literal. Describing the actual food being served at a party, not a metaphorical use of ""powdered.""Is “cue” used metaphorically in “The final symbolic cue used to make sense of the 1980������1 protests is more difficult to categorize, but its basic meaning can be captured by the term political marginality.”?",0
literal. Describing a specific food item or ingredient in a list of nostalgic memories.,"literal. Literal description of food item, not symbolic or figurative",0
metaphor. to indicate causing delay or obstruction in movement.,metaphor. To symbolize preventing or hindering progress of private motorists on diesel buses,1
"metaphor. The buses are not literally bright, but symbolize progress and modernization in the city.","metaphor. The new diesel buses are visually appealing and may attract customers, but they hinder traffic",1
"literal. The buses are physically new, causing congestion for private motorists in the city.","literal. Literal description of recently acquired diesel buses, not referring to age or novelty",0
"literal. Describes the type of buses being referred to, specific type of vehicles mentioned.","literal. Describing actual diesel buses, not a metaphor for something else",0
"literal. Literal description of vehicles and traffic situation, not symbolic or figurative language.",literal. Literal description of transportation methods,0
literal. It's describing a specific situation without comparing it to something else.,"literal. Literal description of extreme circumstances, not comparing to something else",0
"literal. The sentence describes negative actions or situations, not just a comparative level of badness.","literal. Worse is used to describe the negative consequences of the situation, not as a metaphor",0
"metaphor. The buses and cars congested the streets, hindering the movement of other vehicles.",literal. To prevent vehicles from passing through or entering the restricted area,1
literal. It refers to physical advancement or development of transportation systems in the city.,"literal. Literal description of movement, not symbolic or figurative",0
"literal. Describing motorists as ""private"" refers to their ownership of personal vehicles, not metaphorically.","literal. Referring to actual vehicles owned by individuals or companies, not metaphorical or symbolic",0
"literal. The term ""motorist"" is used literally to refer to people who drive cars.","literal. Literal description of individuals operating vehicles, not symbolic or figurative language",0
"metaphor. To describe the large, bulky shape and appearance of the vehicles in a negative way.","metaphor. Describing the appearance or shape of the buses, not referring to their physical size",1
"metaphor. To describe the vehicles as large, heavy, and clumsy.","literal. Describing the physical appearance of the bus, not comparing it to something else",1
"metaphor. Traffic congestion creates a narrow, obstructive environment similar to a canyon.","literal. Describing the physical shape of the city streets, not comparing them to a canyon",1
literal. Describing physical characteristics and layout of the urban environment.,"literal. Literal description of physical urban areas, not symbolic or figurative language",0
"literal. The term ""thoroughfare"" is used literally to describe city streets or roads for vehicles.","literal. Literal description of physical urban spaces, not a metaphor or abstract concept",0
"metaphor. Expressing the idea of absorbing or gaining power, rather than physically lifting or selecting something.","metaphor. Metaphorically means they seized or conquered power, not physically picking something up",1
literal. It refers to electricity being transferred through the wires for use by the individuals.,"metaphor. To convey intensity, danger, and sensation",0
"metaphor. Complex, interconnected, and intricate network of wires resembles a spider's web structure.","literal. Describing a physical object, not comparing or symbolizing",1
"metaphor. To convey complexity, interconnectedness, fragility, or entanglement of the overhead wires system.",literal. Literal description of a physical structure or web used for communication or surveillance,1
literal. Describing the wires as unattractive or visually displeasing.,"literal. The wires are physically unsightly, not metaphorically ugly or undesirable",0
literal. Describes physical location of wires above ground.,"literal. Describing physical location of wires above a person or object, not metaphorical",0
"literal. Literal description of physical electrical wires, not metaphorical comparison or abstract concept.","literal. Describing physical structure of a web, not metaphorical connection or influence",0
metaphor. - Essential for city traffic flow,literal. It is describing the function or purpose of the key in maintaining city streets,1
literal. Key is used literally to describe the importance and central role of traffic lights in cities.,literal. Key is used non-metaphorically to emphasize its importance in maintaining city streets' flow and activity,0
"metaphor. It influences traffic flow, safety, and urban design aesthetics.",metaphor. It symbolizes the importance and function of urban streets in a modern society,1
literal. City streets need efficient transportation systems for smooth traffic flow and aesthetic appeal.,"literal. Literal description of urban areas, not symbolic or figurative",0
literal. It refers to physical roads or pathways for transportation and design.,"literal. Literal description of physical space and movement, essential for urban planning and design",0
literal. It refers to the transportation system's function in keeping traffic flowing smoothly.,"literal. Describes physical action of streets, not abstract concept",0
literal. Describing a factual function or attribute.,literal. Describing a specific role or quality in a straightforward manner,0
literal. It refers to an actual characteristic or quality of the object being discussed.,literal. It is used to emphasize the importance and impact of the role in keeping city streets moving,0
"literal. It is a tangible, physical thing that serves a specific function or purpose.",literal. Because it is referring to an actual object or person in the context of the sentence,0
"literal. Efficiency, functionality, aesthetics, and innovation.","literal. Innovative design, functional layout, visually appealing, promotes walking, energy savings, public health concerns",0
literal. #NAME?,"literal. Describing the contemporary design of the bike, not comparing it to something else",0
literal. City streets require functional design for traffic flow and aesthetics.,literal. Because it refers to individuals who create and improve urban environments through design,0
literal. Desire for efficient city street design drives modern designers to create innovative solutions.,literal. Desire is a genuine expression of appreciation and excitement for modern design,0
metaphor. The Jumbo will have a long-lasting impact on Milan's streets due to its design.,metaphor. Metaphorically refers to the time period between the present event and the future one,1
"literal. Because it refers to a specific unit, the Jumbo, designed by Klaus Giovanni Koenig.",literal. It is used to emphasize that Koenig's design will be widely recognized and recognized in the future,0
"literal. Jumbo refers to a specific type of vehicle, not an exaggeration or metaphor.","literal. It is referring to a large, extravagant and distinctive man-shaped object",0
"metaphor. Because the Jumbo is visually striking and impressive, not actually physically attractive.","literal. Describing the physical appearance and quality of the Jumbo, not using it as a metaphor",1
literal. describing physical appearance or presence accurately.,literal. Because it is describing a future action or state that is expected to happen,0
literal. To describe a specific type of vehicle design.,"literal. It is describing the physical appearance and functionality of the Jumbo, not abstract concepts",0
literal. Describing a specific physical object.,literal. It refers to a specific physical object or entity,0
literal. To describe the intentional creation of the unit by Klaus Giovanni Koenig.,"literal. Describing the creation and planning of the Jumbo, not implying a metaphorical meaning",0
literal. Specifically refers to a person who designs buildings and structures.,"literal. It refers to the designer of the Jumbo, a physical architect working on a project",0
literal. It is referring to a person who designs and constructs physical structures or machinery.,"literal. The term ""engineer"" is used non-metaphorically because it refers to a specific profession",0
literal. It is referring to Klaus Giovanni Koenig's profession as an architect and critic.,literal. It is referring to a person who provides analysis and commentary on design,0
literal. Literal future tense for a planned event or action.,"literal. Future certainty, planned appearance, historical significance, iconic status, cultural value, iconic architecture",0
literal. Literal description of a physical object's presence and visibility.,metaphor. Koenig's design will be widely recognized and appreciated in the future,0
literal. Literal description of where the Jumbo will be seen and operated.,literal. Because it refers to the physical location where the Jumbo will be displayed and lived,0
metaphor. It will be in use for a long time due to its design and functionality.,metaphor. Koenig's work on the Jumbo will continue for the next decade,1
metaphor. It implies a long-lasting impact or presence in Milan's urban landscape.,literal. Specifies a specific period of time for the duration of the sentence,1
metaphor. The power station's clean burning makes the tram virtually pollution free.,"literal. The sentence is discussing a realistic scenario, not a metaphorical one",1
literal. Describing the actual function of the power station and its impact on pollution levels.,"literal. Literal description of the station's ability to handle pollution, not a metaphorical reference",0
literal. Literal description of a physical location or facility for generating power.,"literal. Literal description of a physical location or facility, not a symbolic or metaphorical reference",0
"literal. literal location, physical location, final destination, last stop, actual physical place",literal. Literal description of the station's completion and absence of pollution,0
literal. The power station is physically located at the end of the tram line.,literal. Literal description of a physical boundary or segment of a network,0
"metaphor. The power station generates electricity for the tram, resulting in minimal emissions.","literal. literal description of a physical event or action, not a metaphor or comparison",1
"literal. Advanced technology, efficient fuel combustion, emission control systems, and proper maintenance.",literal. The power station was not affected by the smoke or pollutants from the burning process,0
"literal. Trams run on electricity, not fossil fuels.","literal. Literal transportation method, not symbolic or figurative",0
literal. Describing a factual condition or state of being.,"literal. Literal description of the power station's condition, not implying any comparison or symbolic meaning",0
