sent1,sent2,label,matrics
literal. The informal sector can provide job opportunities for surplus manpower in the country.,literal. Literal use to describe the country's reliance on labor exports and temporary labor sources to address unemployment,0,"[0.11111111111111109, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.21428571428571427, 0.07692307692307693, 0.21428571428571427, 0.06944444444444445]"
literal. - Wheelabrator Technologies will take over ownership and management of Waste Management's projects.,literal. To consolidate operations and focus resources on more profitable projects,0,"[0.1384182521267043, 1.6939495889106837e-308, 1.6939495889106837e-308, 1.6939495889106837e-308, 0.21428571428571427, 0.0, 0.21428571428571427, 0.072992700729927]"
literal. The company plans to incorporate the jobs into its existing private health-care operations.,"literal. The word ""absorb"" is used non-metaphorically to mean to take in or incorporate something",0,"[0.26666666666666666, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.26666666666666666, 0.07142857142857142, 0.26666666666666666, 0.1773049645390071]"
literal. Because it refers to the literal ability of the bank to take on and withstand losses.,literal. Equity capital is a precise and quantifiable measure of a bank's financial strength and resilience,0,"[0.17613994927752671, 2.090263448406506e-308, 2.090263448406506e-308, 2.090263448406506e-308, 0.23529411764705882, 0.0, 0.23529411764705882, 0.08875739644970414]"
literal. To consolidate power and eliminate competition within the left-wing political sphere.,literal. To eliminate competition and consolidate power,0,"[0.48954165955695317, 0.24477082977847658, 1.0892663493304385e-308, 1.0892663493304385e-308, 0.5384615384615384, 0.25, 0.3076923076923077, 0.551907719609583]"
literal. Legal and financial obligations were transferred back to the original company after a temporary arrangement.,"literal. Pension agency absorbed financial shortfall, returned responsibility to steelmaker for plans",0,"[0.17913282764344732, 1.594335087959687e-308, 1.594335087959687e-308, 1.594335087959687e-308, 0.1875, 0.0, 0.1875, 0.09615384615384616]"
"literal. To indicate the physical process of taking in light energy, not a metaphorical absorption.",literal. To describe the process of absorbing or reflecting sunlight,0,"[0.3032653298563167, 0.13478459104725188, 1.3495755153097447e-308, 1.3495755153097447e-308, 0.3333333333333333, 0.14285714285714285, 0.3333333333333333, 0.3075862068965517]"
literal. To pay for the acquisition and cover operational costs.,literal. To cover debt and maintain financial stability,0,"[0.38940039153570244, 0.1112572547244864, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.4, 0.1111111111111111, 0.3, 0.32206632653061223]"
literal. To cover the remaining costs without passing them onto customers.,literal. The sentence is referring to Illinois Power having to absorb the cost of the increase,0,"[0.12500000000000003, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.36363636363636365, 0.0, 0.36363636363636365, 0.1739130434782609]"
literal. 1. To ensure continuity and a smooth transition for employees.,literal. To ensure continued success and stability of the joint venture,0,"[0.36363636363636365, 0.10000000000000002, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.45454545454545453, 0.2, 0.45454545454545453, 0.4054545454545455]"
literal. Exchange rate fluctuations help cushion impact of real shocks on economy.,literal. Stable price and exchange rate stability allow for rapid economic growth and stability,0,"[0.14285714285714285, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.25, 0.09090909090909091, 0.25, 0.20947176684881605]"
"literal. ""Absorb"" is used non-metaphorically to indicate the financial ability to handle future loan losses.",literal. To increase the combined institution's resilience and prevent losses,0,"[0.1213061319425267, 1.3495755153097447e-308, 1.3495755153097447e-308, 1.3495755153097447e-308, 0.25, 0.0, 0.25, 0.10344827586206895]"
literal. Literal meaning of absorbing losses and not metaphorical transfer of responsibility or burden.,literal. Banks are able to absorb losses due to bad debts without passing them on to customers,0,"[0.11764705882352941, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.21428571428571427, 0.07692307692307693, 0.21428571428571427, 0.17871017871017866]"
"literal. Limited infrastructure, resources, and economic stability hinder these countries' ability to absorb rapid population growth.","literal. Lack of infrastructure, economic barriers, and limited resources contribute to slow growth in these regions",0,"[0.375, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5625, 0.0, 0.3125, 0.21875]"
literal. Bally needs more employees for their growing fitness equipment manufacturing businesses.,literal. To create job opportunities and expand Bally's business into new markets,0,"[0.08333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.25, 0.0, 0.25, 0.041666666666666664]"
literal. Because the company has the capacity and resources to integrate the new jobs into its existing business.,"literal. The word ""absorb"" is used non-metaphorically to mean to take in or incorporate something",0,"[0.10916410041039759, 1.8217363958297824e-308, 1.8217363958297824e-308, 1.8217363958297824e-308, 0.16666666666666666, 0.0, 0.16666666666666666, 0.11299435028248588]"
"literal. Slow demand, oversupply, economic uncertainty, high competition, limited financing options.","literal. Limited supply, high demand, lack of competition, changing market trends",0,"[0.36363636363636365, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.45454545454545453, 0.0, 0.2727272727272727, 0.2272727272727273]"
metaphor. Exchange rates adjust quicker than price levels to absorb shocks from changes in terms of trade.,literal. To indicate the impact of the unexpected change on the market,1,"[0.0549367191833703, 1.4668590927248608e-308, 1.4668590927248608e-308, 1.4668590927248608e-308, 0.17647058823529413, 0.0, 0.11764705882352941, 0.12121212121212123]"
"metaphor. Soybean industry is larger and more resilient, able to weather temporary difficulties.","literal. Sunflower industry is physically larger and more diversified than soybean industry, able to withstand setbacks",1,"[0.4375, 0.26666666666666666, 0.07142857142857141, 2.2250738585072626e-308, 0.6153846153846154, 0.4166666666666667, 0.5384615384615384, 0.5639097744360902]"
metaphor. Metaphorically refers to understanding and internalizing information or knowledge.,metaphor. Metaphorically used to indicate understanding and retention of information or concept,1,"[0.5833333333333334, 0.2727272727272727, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.7, 0.3333333333333333, 0.7, 0.6222488995598239]"
metaphor. Cincinnati residents embrace diversity and adapt to new cultural influences through food and music.,metaphor. Cincinnati residents have adapted and integrated into the local economy and culture,1,"[0.3297707381386313, 0.14290065319340692, 0.07794581083276739, 1.9077870467055724e-308, 0.4666666666666667, 0.14285714285714285, 0.3333333333333333, 0.38678985107556535]"
"metaphor. Maintain competitive pricing, protect market share, avoid losing customers, absorb costs for long-term gains.",literal. To increase profits or avoid competition in the market,1,"[0.1213061319425267, 1.3495755153097447e-308, 1.3495755153097447e-308, 1.3495755153097447e-308, 0.1875, 0.0, 0.125, 0.10344827586206895]"
"metaphor. Market is able to withstand selling pressure and continues to rise, showing strength and bullish sentiment.",literal. The market is able to withstand heavy selling and come back stronger due to investor confidence and demand,1,"[0.42105263157894735, 0.16666666666666669, 0.11764705882352941, 0.0625, 0.5294117647058824, 0.25, 0.5294117647058824, 0.47839506172839513]"
metaphor. Mr. Jackson has accepted and internalized both positive and negative information from the press.,literal. Mr. Jackson is able to take in information and apply it to his own needs and goals,1,"[0.2777777777777778, 0.0588235294117647, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.07142857142857142, 0.26666666666666666, 0.2786855482933915]"
metaphor. Gen. Jaruzelski has not fully understood or internalized the impact of the strikes in May.,literal. Gen. Jaruzelski is not changing his style or approach to warfare,1,"[0.23884377019126307, 0.06513921005216265, 1.594335087959687e-308, 1.594335087959687e-308, 0.25, 0.06666666666666667, 0.25, 0.20232371794871798]"
"metaphor. It consumes a significant portion of her income, leaving little for other expenses.",literal. The cost of housing is a significant portion of her income,1,"[0.35270071870442254, 0.30781153632385966, 0.2539445174671842, 0.188107049975692, 0.42857142857142855, 0.38461538461538464, 0.42857142857142855, 0.3608695652173913]"
metaphor. Agencies may struggle to cover full cost without impacting other programs or services.,literal. Increase in costs must be shared by agencies,1,"[0, 0, 0, 0, 0.14285714285714285, 0.0, 0.07142857142857142, 0.07407407407407407]"
metaphor. To indicate merging or taking over another entity.,literal. It refers to the action of acquiring an asset or business for investment or expansion,1,"[0.0625, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2222222222222222, 0.0, 0.2222222222222222, 0.10309278350515463]"
metaphor. To eliminate competition and control religion in Ukraine.,literal. Stalin forced the Russian Orthodox Church to accept the Ukrainian Catholic Church as a part of its territory,1,"[0, 0, 0, 0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.05]"
metaphor. To cover costs and maintain profitability.,literal. Because they are responsible for managing the money and absorbing the costs,1,"[0.15384615384615385, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.0, 0.14285714285714285, 0.13157894736842107]"
literal. The tenant was physically attacked by the pet monkey owned by other renters.,"literal. The word ""assaulted"" is used non-metaphorically to describe physical contact or harm caused to the tenant by the monkey",0,"[0.3, 0.10526315789473682, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5, 0.23076923076923078, 0.42857142857142855, 0.32848755940732455]"
literal. Because it refers to physical violence and intentional harm towards another person.,literal. Mr. Tyson denies that he attempted to harm or cause death to himself or his wife,0,"[0.17647058823529413, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.23076923076923078, 0.0, 0.23076923076923078, 0.11194029850746269]"
literal. To emphasize the severity of the threat to women's safety and the urgent need for protection.,literal. To emphasize the seriousness of the threat and the importance of taking preventative measures,0,"[0.5251039914257685, 0.37507427958983464, 0.20196307362529559, 0.07293110992024562, 0.5, 0.35294117647058826, 0.5, 0.49315476190476193]"
"literal. Because it refers to a specific criminal act, not a figurative or symbolic action.",literal. To avoid causing controversy and maintain credibility with the public,0,"[0.06319490258171626, 1.54674658298039e-308, 1.54674658298039e-308, 1.54674658298039e-308, 0.13333333333333333, 0.0, 0.13333333333333333, 0.0684931506849315]"
"metaphor. Different political agendas, prioritizing different issues, questioning effectiveness of aid programs.",literal. to criticize or object to government actions or policies,1,"[0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0]"
"metaphor. The term ""assault"" is used metaphorically to emphasize the importance of peaceful and respectful government functioning.",literal. To describe a physical assault or threat to government authority or function,1,"[0.11309868932179762, 1.6357440907688813e-308, 1.6357440907688813e-308, 1.6357440907688813e-308, 0.23529411764705882, 0.0, 0.23529411764705882, 0.09036144578313254]"
metaphor. Disappointment with results of perestroika led to verbal assaults on Gorbachev in Krasnoyarsk.,"metaphor. Lack of access to resources, dissatisfaction with government's performance, desire to assert control over economic life",1,"[0.23529411764705885, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.0, 0.21428571428571427, 0.13986013986013987]"
"literal. Gramm believes in plant stress research over weed center funding, supporting his agenda.",literal. To describe a strong and aggressive stance against federal funding for the weed center,0,"[0.2, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.07692307692307693, 0.21428571428571427, 0.18124507486209612]"
literal. Different political stances and actions between the two versions of Francois Mitterrand.,literal. Mr. Chirac was referring to criticizing or opposing the current French government and not a specific individual,0,"[0.16666666666666669, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.23076923076923078, 0.0, 0.15384615384615385, 0.11111111111111112]"
literal. 1. Dependent on good will,literal. Because it implies a deliberate and aggressive action towards a particular individual or group,0,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.16666666666666666, 0.0, 0.16666666666666666, 0.07246376811594203]"
literal. Different perspectives within the executive branch on the use of independent counsels.,literal. To defend or assert their own rights and interests,0,"[0.07408182206817181, 1.6483752567447546e-308, 1.6483752567447546e-308, 1.6483752567447546e-308, 0.07692307692307693, 0.0, 0.07692307692307693, 0.03937007874015748]"
literal. Because it describes a verbal or written criticism or opposition towards the governor's policies.,literal. He is referring to a strong and aggressive criticism or confrontation,0,"[0.2596002610238016, 0.07080007118830953, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.25, 0.06666666666666667, 0.25, 0.21471088435374147]"
literal. To indicate physical violence or harm intended to be inflicted on a specific target.,"literal. The word ""attack"" is used non-metaphorically because it refers to a physical assault on a target",0,"[0.29411764705882354, 0.0625, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.07142857142857142, 0.4, 0.28051900584795325]"
literal. To describe a physical act of aggression or violence towards the Norwegian tanker.,literal. To describe a physical or verbal assault on a vessel,0,"[0.4152547563801129, 0.3045201546787495, 0.25376679556562454, 0.19032509667421843, 0.42857142857142855, 0.3076923076923077, 0.42857142857142855, 0.37307380373073795]"
literal. To criticize or challenge aggressively or forcefully.,literal. To criticize or condemn something strongly and publicly,0,"[0.4444444444444444, 0.375, 0.2857142857142857, 0.16666666666666669, 0.5, 0.42857142857142855, 0.5, 0.46296296296296297]"
literal. Soviets have tactical advantage in those regions and can gain strategic leverage.,literal. To deter Soviet aggression and ensure peace in the region,0,"[0.2273871594750492, 1.8551618224632315e-308, 1.8551618224632315e-308, 1.8551618224632315e-308, 0.38461538461538464, 0.0, 0.3076923076923077, 0.19531250000000003]"
literal. It means to criticize or confront Mr. Dukakis for not providing detailed answers on budget issues.,"literal. The word ""attack"" is used non-metaphorically because it refers to criticizing or opposing something",0,"[0.1750346638085895, 1.9473252738654987e-308, 1.9473252738654987e-308, 1.9473252738654987e-308, 0.29411764705882354, 0.125, 0.29411764705882354, 0.2654761904761905]"
"literal. Literal description of military action, not figurative language.",literal. Because it describes a physical military action against a civilian target,0,"[0.16666666666666669, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.125, 0.3333333333333333, 0.10752688172043011]"
"literal. Insects target weakened, dying trees for food and shelter after a fire.",literal. Because the insects are physically attacking the snags to prevent them from falling,0,"[0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.15384615384615385, 0.0, 0.15384615384615385, 0.07633587786259544]"
literal. To compete and gain market share.,literal. To criticize or condemn the way McDonald's cooks its food,0,"[0.18181818181818182, 0.10000000000000002, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.16666666666666666, 0.2857142857142857, 0.2533783783783784]"
literal. The statement refers to a physical act of aggression or harm against U.S. vessels.,"literal. The sentence is referring to a literal action of attacking or laying mines, not a metaphorical or symbolic attack",0,"[0.3, 0.10526315789473682, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4375, 0.2, 0.4375, 0.407258064516129]"
literal. Because it directly describes physical violence or harm committed by members of Abu Nidal's organization.,literal. Because they were involved in a violent act and attempted to harm or attack a Jewish community center,0,"[0.21052631578947367, 0.05555555555555554, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.23529411764705882, 0.0625, 0.17647058823529413, 0.19363496932515337]"
literal. To prevent escalation of conflict and maintain stability in the region.,literal. To criticize or challenge Israel's actions or intentions in the peace process,0,"[0.30769230769230765, 0.16666666666666669, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.18181818181818182, 0.3333333333333333, 0.3099173553719008]"
"literal. Diplomatic relations, economic repercussions, cultural sensitivity, political backlash, trade agreements, global image.","literal. Historical sensitivities, reluctance to offend, fear of backlash, lack of evidence",0,"[0.1533407357715539, 2.0471667756573244e-308, 2.0471667756573244e-308, 2.0471667756573244e-308, 0.23076923076923078, 0.0, 0.23076923076923078, 0.07751937984496124]"
literal. Increased attention and intervention from the United States typically indicate positive developments in El Salvador.,literal. 1. National security concerns,0,"[0.022160631672466777, 2.465452111120697e-309, 2.465452111120697e-309, 2.465452111120697e-309, 0.0625, 0.0, 0.0625, 0.06711409395973154]"
literal. Directly address and prevent the root cause of the problem to effectively solve it.,literal. To address and reduce the impact of poaching on wildlife populations,0,"[0.32450032627975206, 0.07080007118830953, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.4, 0.07142857142857142, 0.3333333333333333, 0.2900604686318972]"
literal. Legal argument is being made against similar treatment of future claims in the Manville case.,literal. Because the Manville case is being considered on a federal level and involves similar legal arguments and issues,0,"[0.3157894736842105, 0.11111111111111109, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5625, 0.26666666666666666, 0.25, 0.43088573619631904]"
literal. Sparrows may attack yellow crocuses for food or to defend their territory.,literal. Because it refers to a physical action of attacking and destroying the crocuses,0,"[0.21428571428571425, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3076923076923077, 0.0, 0.23076923076923078, 0.15267175572519087]"
literal. The PLO's statement indicates a planned physical assault on Israeli targets as retaliation.,literal. literal use to indicate a planned or aggressive action,0,"[0.20109601381069178, 0.07448000511507102, 1.491511611267286e-308, 1.491511611267286e-308, 0.26666666666666666, 0.14285714285714285, 0.26666666666666666, 0.275735294117647]"
"literal. Opposition to agreement, criticizing it, creating obstacles for progress in superpower summit.",literal. Because it implies an aggressive response or confrontation from the United States,0,"[0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.15384615384615385, 0.0, 0.15384615384615385, 0.038461538461538464]"
literal. Tamil rebels physically assaulted the village to target and harm the Sinhalese residents.,"literal. Ethnic conflict, retaliation, territorial control, religious tensions, revenge, political motives",0,"[0.06920912606335215, 1.6939495889106837e-308, 1.6939495889106837e-308, 1.6939495889106837e-308, 0.07142857142857142, 0.0, 0.07142857142857142, 0.0364963503649635]"
"literal. The word ""attack"" is used non-metaphorically because it refers to addressing and resolving operational issues.",literal. Bank financing removed obstacle to attacking operating problems and cost war,0,"[0.17913282764344732, 1.594335087959687e-308, 1.594335087959687e-308, 1.594335087959687e-308, 0.29411764705882354, 0.0, 0.17647058823529413, 0.12820512820512822]"
literal. To emphasize the specific and purposeful nature of the drugs' actions against diseased cells.,literal. To specify the specific purpose or effect of the drug on the diseased cells,0,"[0.4666666666666667, 0.21428571428571425, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.6666666666666666, 0.35714285714285715, 0.6666666666666666, 0.3546875]"
literal. Sen. Adams criticized poor working conditions in labs.,literal. To describe a strong and aggressive response or criticism towards the company's actions and policies,0,"[0.0625, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2222222222222222, 0.0, 0.2222222222222222, 0.10309278350515463]"
"literal. The statement refers to a physical act of aggression, not a figurative or symbolic attack.",literal. It refers to a physical or verbal assault on a military target,0,"[0.4274968157481276, 0.1984806644544878, 0.1443495741487184, 0.07939226578179515, 0.4375, 0.2, 0.375, 0.4042636162745352]"
literal. The Aegis cruiser perceived the passenger jet as a threat or imminent danger.,literal. - Accurate description of fighter jet's movement,0,"[0.05904581909262685, 1.051050468137224e-308, 1.051050468137224e-308, 1.051050468137224e-308, 0.14285714285714285, 0.0, 0.14285714285714285, 0.03731343283582089]"
literal. 1. Criticized policies,"literal. The word ""attack"" is used non-metaphorically because it refers to criticism or opposition",0,"[0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5, 0.0, 0.5, 0.2]"
"literal. It refers to a physical assault on the food convoys by the Eritreans, not just criticism.",literal. Because it refers to a physical or verbal assault on the Eritreans,0,"[0.4523947572871905, 0.3063089502465352, 0.20049313107045938, 0.07351414805916846, 0.5882352941176471, 0.4375, 0.5882352941176471, 0.5183697753978879]"
literal. The positions were overrun because they were not well fortified and were meant for attacking.,literal. Because the Iranian army is physically assaulting the positions of the Iraqi army,0,"[0.12383969996431167, 1.928867353251809e-308, 1.928867353251809e-308, 1.928867353251809e-308, 0.25, 0.06666666666666667, 0.1875, 0.12658227848101264]"
literal. To reduce expenses and improve efficiency.,literal. To reduce costs and maintain efficiency,0,"[0.5714285714285714, 0.3333333333333333, 0.2, 2.2250738585072626e-308, 0.7142857142857143, 0.3333333333333333, 0.7142857142857143, 0.5357142857142857]"
literal. To ensure strategic coordination and prevent vulnerability in the event of a base being compromised.,literal. It refers to the physical action of organizing and executing an attack on multiple bases,0,"[0.25, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.375, 0.0, 0.3125, 0.1875]"
literal. Competing for market share. Differentiating products. Increasing sales. Keeping up with trends.,literal. To emphasize the negative impact of coffee's breakfast appeal on people's health,0,"[0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.07692307692307693, 0.0, 0.07692307692307693, 0.038461538461538464]"
literal. Because they actively criticized and protested against the legal system's decision and actions.,literal. Because it refers to a physical or verbal assault on the country's legal system,0,"[0.26666666666666666, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.14285714285714285, 0.3333333333333333, 0.22384751773049644]"
literal. It means they would have criticized or opposed the tax reform plan.,literal. To criticize or condemn the proposal for favoring the wealthy,0,"[0.2273871594750492, 1.8551618224632315e-308, 1.8551618224632315e-308, 1.8551618224632315e-308, 0.3076923076923077, 0.08333333333333333, 0.3076923076923077, 0.24658203125000006]"
"literal. The word ""attack"" is used non-metaphorically because it describes a physical act of violence.",literal. Mugniyah has been trying to free his wife's brother for four years,0,"[0.06595414762772626, 1.9077870467055724e-308, 1.9077870467055724e-308, 1.9077870467055724e-308, 0.0625, 0.0, 0.0625, 0.03378378378378378]"
literal. The Treasury official criticized the proposal for being a commercial venture without innovation.,literal. It refers to a deliberate and aggressive criticism or challenge,0,"[0.1384182521267043, 1.6939495889106837e-308, 1.6939495889106837e-308, 1.6939495889106837e-308, 0.21428571428571427, 0.0, 0.14285714285714285, 0.10948905109489049]"
literal. Because it describes direct physical aggression or violence towards a specific group or individual.,literal. Because it refers to a physical assault on Catholics by Protestant extremists,0,"[0.3297707381386313, 0.14290065319340692, 0.07794581083276739, 1.9077870467055724e-308, 0.3333333333333333, 0.14285714285714285, 0.26666666666666666, 0.3013513513513513]"
literal. The social wing disagreed with the plans and wanted more tax revenue for the poor.,literal. Because it refers to a physical or verbal assault on the plans,0,"[0.18321292103491182, 0.06616022148482927, 1.7665365515873297e-308, 1.7665365515873297e-308, 0.1875, 0.06666666666666667, 0.1875, 0.09554140127388534]"
"literal. The word ""attack"" is used non-metaphorically to describe a physical assault or offensive action.",literal. Assault is used non-metaphorically to describe a physical military response to a missile attack,0,"[0.5333333333333333, 0.42857142857142855, 0.38461538461538464, 0.3333333333333333, 0.6875, 0.4666666666666667, 0.5625, 0.45884773662551437]"
literal. Efficiently address and confront issues related to taxes and Social Security to achieve deficit reduction.,literal. To address and reduce the deficit through budget discipline and restructuring,0,"[0.29855471273907885, 0.06513921005216265, 1.594335087959687e-308, 1.594335087959687e-308, 0.375, 0.06666666666666667, 0.25, 0.27332621082621084]"
